Zipcode,Population,Household Income,Per Capita Income,Borough,Crime Rate
10465,44862.0,65450.0,29953.0,Bronx,High
10466,70609.0,44012.0,19925.0,Bronx,High
10467,98754.0,36048.0,18137.0,Bronx,High
10468,71822.0,33776.0,15537.0,Bronx,High
10469,71843.0,57776.0,22960.0,Bronx,High
10470,14850.0,58600.0,28734.0,Bronx,High
10471,22030.0,71798.0,43630.0,Bronx,High
10472,68898.0,30288.0,14652.0,Bronx,High
10473,58660.0,35866.0,19561.0,Bronx,High
10474,12519.0,25676.0,11410.0,Bronx,High
10475,43231.0,43629.0,25870.0,Bronx,High
